거래소코드,label,pred,proba1,회사명,회계년도
012280,0.0,0,0.07700875,영화금속(주),2018/12
012320,1.0,1,0.9349301,(주)경동인베스트,2015/12
012340,0.0,0,0.010347812,(주)뉴인텍,2012/12
012450,0.0,0,0.059539426,한화에어로스페이스(주),2014/12
012600,0.0,0,0.025178988,(주)청호ICT,2012/12
012630,1.0,1,0.93902415,에이치디씨(주),2013/12
012650,0.0,0,0.01143695,쌍용건설(주),2012/12
012690,1.0,1,0.97702,(주)모나리자,2018/12
012800,0.0,0,0.08083952,(주)대창,2012/12
012860,0.0,0,0.0071558408,(주)모베이스전자,2017/12
013310,1.0,1,0.94643766,아진산업(주),2018/12
013360,1.0,1,0.9651477,일성건설(주),2012/12
013580,0.0,0,0.010009539,계룡건설산업(주),2013/12
013700,0.0,0,0.050188467,(주)까뮤이앤씨,2012/12
013720,0.0,0,0.04302561,씨비아이(주),2016/12
013810,1.0,1,0.8123283,(주)스페코,2013/12
013990,0.0,0,0.026247757,(주)아가방앤컴퍼니,2014/12
014100,0.0,0,0.10929607,메디앙스(주),2012/12
014160,1.0,1,0.9761801,대영포장(주),2017/12
014190,0.0,0,0.062038824,(주)원익큐브,2012/12
014200,0.0,0,0.08659227,(주)광림,2014/12
014280,0.0,0,0.0480191,금강공업(주),2019/12
014350,0.0,0,0.014981527,(주)신일건업,2012/12
014470,1.0,1,0.95067424,(주)부방,2017/12
014620,0.0,0,0.018045122,(주)성광벤드,2017/12
014790,0.0,0,0.014680979,에이치엘디앤아이한라(주),2012/12
014910,0.0,0,0.034427598,성문전자(주),2012/12
014940,0.0,0,0.029235644,(주)오리엔탈정공,2012/12
014970,1.0,1,0.93079185,삼륭물산(주),2018/12
014990,0.0,0,0.02716068,(주)인디에프,2012/12
015020,1.0,1,0.93459207,(주)이스타코,2012/12
015260,0.0,0,0.045050904,(주)에이엔피,2016/12
015360,1.0,1,0.9771928,(주)예스코홀딩스,2014/12
015590,0.0,0,0.041838903,케이아이비플러그에너지(주),2014/12
015760,0.0,0,0.024317713,한국전력공사(주),2012/12
015860,1.0,1,0.8596417,일진홀딩스(주),2012/12
015890,1.0,1,0.8896772,태경산업(주),2015/12
016100,0.0,0,0.03997764,(주)리더스코스메틱,2017/12
016250,1.0,1,0.9011455,에스지씨이테크건설(주),2013/12
016380,0.0,0,0.054045223,KG스틸(주),2012/12
016880,0.0,0,0.011906211,(주)웅진,2012/12
016920,0.0,0,0.06895835,(주)카스,2014/12
017000,1.0,1,0.87221926,신원종합개발(주),2015/12
017180,1.0,1,0.9258686,명문제약(주),2012/12
017370,0.0,0,0.065152705,(주)우신시스템,2018/12
017390,0.0,0,0.08109279,서울도시가스(주),2015/12
017650,1.0,1,0.9157348,(주)대림제지,2015/12
017680,0.0,0,0.1131938,(주)데코앤이,2012/12
017900,0.0,0,0.084348716,광전자(주),2012/12
017940,0.0,0,0.014356902,(주)이원,2015/12
018000,0.0,0,0.04287577,유니슨(주),2012/12
018290,0.0,0,0.016869111,(주)브이티지엠피,2012/12
018470,0.0,0,0.05265418,조일알미늄(주),2014/12
018620,0.0,0,0.0043624276,우진비앤지(주),2015/12
018680,0.0,0,0.011165157,(주)서울제약,2015/12
019010,0.0,0,0.01512268,베뉴지(주),2012/12
019170,1.0,1,0.95504576,신풍제약(주),2015/12
019180,0.0,0,0.017043233,(주)티에이치엔,2012/12
019210,0.0,0,0.04331261,(주)와이지-원,2019/12
019490,0.0,0,0.044814285,(주)하이트론씨스템즈,2012/12
019540,0.0,0,0.03756534,(주)일지테크,2017/12
019660,0.0,0,0.023282982,글로본(주),2018/12
019770,0.0,0,0.0788388,(주)서연탑메탈,2018/12
020120,1.0,1,0.9100636,(주)키다리스튜디오,2012/12
020150,0.0,0,0.04711632,롯데에너지머티리얼즈(주),2012/12
020400,1.0,1,0.8988591,대동금속(주),2012/12
020560,0.0,0,0.03258939,아시아나항공(주),2013/12
020710,0.0,0,0.04187228,(주)시공테크,2015/12
020760,0.0,0,0.035759356,일진디스플레이(주),2015/12
021040,0.0,0,0.039358266,(주)대호특수강,2012/12
021050,0.0,0,0.09520295,(주)서원,2012/12
021320,0.0,0,0.009726822,(주)케이씨씨건설,2012/12
022220,0.0,0,0.12139362,티케이지애강(주),2012/12
023150,1.0,1,0.9092613,(주)MH에탄올,2013/12
023410,1.0,1,0.93589514,유진기업(주),2012/12
023430,1.0,1,0.8999675,아이이(주),2012/12
023440,0.0,0,0.025311777,제이스코홀딩스(주),2012/12
023530,0.0,0,0.053901624,롯데쇼핑(주),2019/12
023770,0.0,0,0.010689012,(주)플레이위드코리아,2012/12
023790,0.0,0,0.06966514,동일철강(주),2012/12
023800,0.0,0,0.050317567,인지컨트롤스(주),2019/12
023810,1.0,1,0.9767662,(주)인팩,2017/12
023960,0.0,0,0.030449206,에쓰씨엔지니어링(주),2012/12
024060,1.0,1,0.9415232,흥구석유(주),2013/12
024070,1.0,1,0.91158557,(주)위스컴,2018/12
024090,1.0,1,0.89038026,디씨엠(주),2014/12
024660,1.0,1,0.92210907,(주)하림홀딩스,2012/12
024740,1.0,1,0.89011884,한일단조공업(주),2012/12
024800,1.0,1,0.924401,(주)유성티엔에스,2012/12
024810,0.0,0,0.03574744,이화전기공업(주),2012/12
024830,0.0,0,0.05982904,(주)세원물산,2012/12
024840,1.0,1,0.973855,케이비아이메탈(주),2012/12
024850,0.0,0,0.13501078,에이치엘비이노베이션(주),2014/12
024890,1.0,1,0.9766799,대원화성(주),2012/12
024900,0.0,0,0.024562053,덕양산업(주),2012/12
024910,1.0,1,0.97522086,경창산업(주),2012/12
024940,1.0,1,0.95706123,(주)피엔풍년,2019/12
024950,0.0,0,0.0011950373,삼천리자전거(주),2017/12
025270,0.0,0,0.02045742,부산방직공업(주),2014/12
025320,1.0,1,0.951638,(주)시노펙스,2012/12
025440,0.0,0,0.027033145,(주)디에이치오토웨어,2012/12
025560,0.0,0,0.006351242,미래산업(주),2012/12
025620,0.0,0,0.014509483,제이준코스메틱(주),2012/12
025750,1.0,1,0.9588282,(주)한솔홈데코,2012/12
025820,0.0,0,0.081855744,이구산업(주),2012/12
025850,0.0,0,0.018638488,한화화인케미칼(주),2012/12
025860,1.0,1,0.961549,남해화학(주),2012/12
025870,1.0,1,0.92337126,신라에스지(주),2012/12
025880,0.0,0,0.098187946,(주)케이씨피드,2014/12
