거래소코드,회사명,회계년도,label,pred,proba1
014940,(주)오리엔탈정공,2012/12,0.0,0.0,0.19
014970,삼륭물산(주),2018/12,1.0,1.0,0.67
014990,(주)인디에프,2012/12,0.0,0.0,0.19
015020,(주)이스타코,2012/12,1.0,1.0,0.67
015260,(주)에이엔피,2016/12,0.0,0.0,0.18
015360,(주)예스코홀딩스,2014/12,1.0,1.0,0.89
015590,케이아이비플러그에너지(주),2014/12,0.0,0.0,0.22
015750,(주)성우하이텍,2020/12,1.0,0.0,0.48
015760,한국전력공사(주),2012/12,0.0,0.0,0.23
015860,일진홀딩스(주),2012/12,1.0,1.0,0.8
015890,태경산업(주),2015/12,1.0,1.0,0.71
016100,(주)리더스코스메틱,2017/12,0.0,0.0,0.24
016250,에스지씨이테크건설(주),2013/12,1.0,1.0,0.78
016380,KG스틸(주),2012/12,0.0,0.0,0.3
016790,(주)카나리아바이오,2020/12,1.0,1.0,0.6
016880,(주)웅진,2012/12,0.0,0.0,0.07
016920,(주)카스,2014/12,0.0,0.0,0.24
017000,신원종합개발(주),2015/12,1.0,1.0,0.8
017180,명문제약(주),2012/12,1.0,1.0,0.93
017370,(주)우신시스템,2018/12,0.0,0.0,0.2
017390,서울도시가스(주),2015/12,0.0,0.0,0.3
017650,(주)대림제지,2015/12,1.0,1.0,0.81
017680,(주)데코앤이,2012/12,0.0,0.0,0.22
017900,광전자(주),2012/12,0.0,0.0,0.23
017940,(주)이원,2015/12,0.0,0.0,0.19
018000,유니슨(주),2012/12,0.0,0.0,0.17
018290,(주)브이티지엠피,2012/12,0.0,0.0,0.12
018470,조일알미늄(주),2014/12,0.0,0.0,0.31
018620,우진비앤지(주),2015/12,0.0,0.0,0.13
018680,(주)서울제약,2015/12,0.0,0.0,0.12
019010,베뉴지(주),2012/12,0.0,0.0,0.1
019170,신풍제약(주),2015/12,1.0,1.0,0.87
019180,(주)티에이치엔,2012/12,0.0,0.0,0.17
019210,(주)와이지-원,2019/12,0.0,0.0,0.18
019440,(주)세아특수강,2020/12,1.0,1.0,0.62
019490,(주)하이트론씨스템즈,2012/12,0.0,0.0,0.24
019540,(주)일지테크,2017/12,0.0,0.0,0.12
019660,글로본(주),2018/12,0.0,0.0,0.23
019680,(주)대교,2020/12,0.0,0.0,0.41
019770,(주)서연탑메탈,2018/12,0.0,0.0,0.07
020120,(주)키다리스튜디오,2012/12,1.0,1.0,0.76
020150,롯데에너지머티리얼즈(주),2012/12,0.0,0.0,0.19
020400,대동금속(주),2012/12,1.0,1.0,0.73
020560,아시아나항공(주),2013/12,0.0,0.0,0.14
020710,(주)시공테크,2015/12,0.0,0.0,0.19
020760,일진디스플레이(주),2015/12,0.0,0.0,0.08
021040,(주)대호특수강,2012/12,0.0,0.0,0.15
021050,(주)서원,2012/12,0.0,0.0,0.22
021320,(주)케이씨씨건설,2012/12,0.0,0.0,0.16
022220,티케이지애강(주),2012/12,0.0,0.0,0.25
023150,(주)MH에탄올,2013/12,1.0,1.0,0.94
023160,(주)태광,2020/12,1.0,1.0,0.64
023410,유진기업(주),2012/12,1.0,1.0,0.94
023430,아이이(주),2012/12,1.0,1.0,0.75
023440,제이스코홀딩스(주),2012/12,0.0,0.0,0.05
023530,롯데쇼핑(주),2019/12,0.0,0.0,0.2
023770,(주)플레이위드코리아,2012/12,0.0,0.0,0.07
023790,동일철강(주),2012/12,0.0,0.0,0.2
023800,인지컨트롤스(주),2019/12,0.0,0.0,0.15
023810,(주)인팩,2017/12,1.0,1.0,0.89
023960,에쓰씨엔지니어링(주),2012/12,0.0,0.0,0.12
024060,흥구석유(주),2013/12,1.0,1.0,0.71
024070,(주)위스컴,2018/12,1.0,1.0,0.89
024090,디씨엠(주),2014/12,1.0,1.0,0.91
024120,KB오토시스(주),2021/12,1.0,0.0,0.48
024660,(주)하림홀딩스,2012/12,1.0,1.0,0.9
024740,한일단조공업(주),2012/12,1.0,1.0,0.95
024800,(주)유성티엔에스,2012/12,1.0,1.0,0.78
024810,이화전기공업(주),2012/12,0.0,0.0,0.06
024830,(주)세원물산,2012/12,0.0,0.0,0.26
024840,케이비아이메탈(주),2012/12,1.0,1.0,0.99
024850,에이치엘비이노베이션(주),2014/12,0.0,0.0,0.15
024880,(주)케이피에프,2020/12,0.0,1.0,0.53
024890,대원화성(주),2012/12,1.0,1.0,0.79
024900,덕양산업(주),2012/12,0.0,0.0,0.27
024910,경창산업(주),2012/12,1.0,1.0,0.79
024940,(주)피엔풍년,2019/12,1.0,1.0,0.97
024950,삼천리자전거(주),2017/12,0.0,0.0,0.12
025270,부산방직공업(주),2014/12,0.0,0.0,0.17
025320,(주)시노펙스,2012/12,1.0,1.0,0.97
025440,(주)디에이치오토웨어,2012/12,0.0,0.0,0.15
025560,미래산업(주),2012/12,0.0,0.0,0.04
025620,제이준코스메틱(주),2012/12,0.0,0.0,0.06
025750,(주)한솔홈데코,2012/12,1.0,1.0,0.95
025820,이구산업(주),2012/12,0.0,0.0,0.11
025850,한화화인케미칼(주),2012/12,0.0,0.0,0.13
025860,남해화학(주),2012/12,1.0,1.0,0.98
025870,신라에스지(주),2012/12,1.0,1.0,0.81
025880,(주)케이씨피드,2014/12,0.0,0.0,0.24
025890,한국주강(주),2013/12,1.0,1.0,0.95
025900,동화기업(주),2012/12,0.0,0.0,0.13
025950,동신건설(주),2019/12,1.0,1.0,0.74
025980,(주)아난티,2012/12,0.0,0.0,0.05
026040,(주)제이에스티나,2017/12,0.0,0.0,0.23
026150,(주)특수건설,2012/12,0.0,0.0,0.16
026180,현대정보기술(주),2012/12,0.0,0.0,0.08
026260,(주)위너지스,2012/12,0.0,0.0,0.04
026910,광진실업(주),2013/12,1.0,1.0,0.92
027040,서울전자통신(주),2012/12,0.0,0.0,0.16
027050,(주)코리아나화장품,2012/12,0.0,0.0,0.23
027390,(주)한화갤러리아타임월드,2016/12,0.0,0.0,0.09
027580,(주)상보,2014/12,0.0,0.0,0.29
027710,(주)팜스토리,2013/12,1.0,1.0,0.81
027740,(주)마니커,2012/12,0.0,0.0,0.16
027970,한국제지(주),2012/12,0.0,0.0,0.14
028040,(주)미래SCI,2012/12,0.0,0.0,0.05
028080,(주)휴맥스홀딩스,2021/12,0.0,0.0,0.26
028260,삼성물산(주),2015/12,0.0,0.0,0.23
028300,에이치엘비(주),2012/12,0.0,0.0,0.16
028670,팬오션(주),2012/12,0.0,0.0,0.07
029480,(주)광무,2012/12,0.0,0.0,0.01
029530,(주)신도리코,2020/12,1.0,0.0,0.39
030200,(주)케이티,2014/12,1.0,1.0,0.89
030270,(주)에스마크,2012/12,1.0,1.0,0.7
030350,(주)드래곤플라이,2013/12,1.0,1.0,0.88
030720,동원수산(주),2012/12,0.0,0.0,0.11
030790,비케이탑스(주),2012/12,0.0,0.0,0.07
