거래소코드,회사명,회계년도,label,pred,proba1
012800,(주)대창,2012/12,0.0,0,0.074688345
012860,(주)모베이스전자,2017/12,0.0,0,0.011195247
013310,아진산업(주),2018/12,1.0,1,0.92670625
013360,일성건설(주),2012/12,1.0,1,0.9472576
013520,(주)화승코퍼레이션,2020/12,0.0,1,0.73175013
013580,계룡건설산업(주),2013/12,0.0,0,0.005122577
013700,(주)까뮤이앤씨,2012/12,0.0,0,0.03308729
013720,씨비아이(주),2016/12,0.0,0,0.04747635
013810,(주)스페코,2013/12,1.0,1,0.9135324
013870,지엠비코리아(주),2020/12,1.0,1,0.5552351
013990,(주)아가방앤컴퍼니,2014/12,0.0,0,0.029014606
014100,메디앙스(주),2012/12,0.0,0,0.12510796
014160,대영포장(주),2017/12,1.0,1,0.9895683
014190,(주)원익큐브,2012/12,0.0,0,0.109171055
014200,(주)광림,2014/12,0.0,0,0.10083877
014280,금강공업(주),2019/12,0.0,0,0.074365586
014350,(주)신일건업,2012/12,0.0,0,0.016787693
014470,(주)부방,2017/12,1.0,1,0.98724127
014620,(주)성광벤드,2017/12,0.0,0,0.04098656
014790,에이치엘디앤아이한라(주),2012/12,0.0,0,0.023929844
014910,성문전자(주),2012/12,0.0,0,0.026180036
014940,(주)오리엔탈정공,2012/12,0.0,0,0.038116418
014970,삼륭물산(주),2018/12,1.0,1,0.88216877
014990,(주)인디에프,2012/12,0.0,0,0.039632015
015020,(주)이스타코,2012/12,1.0,1,0.9013387
015260,(주)에이엔피,2016/12,0.0,0,0.034928
015360,(주)예스코홀딩스,2014/12,1.0,1,0.9573663
015590,케이아이비플러그에너지(주),2014/12,0.0,0,0.070753865
015750,(주)성우하이텍,2020/12,1.0,0,0.01566603
015760,한국전력공사(주),2012/12,0.0,0,0.015477498
015860,일진홀딩스(주),2012/12,1.0,1,0.8814084
015890,태경산업(주),2015/12,1.0,1,0.93036765
016100,(주)리더스코스메틱,2017/12,0.0,0,0.040559717
016250,에스지씨이테크건설(주),2013/12,1.0,1,0.89043695
016380,KG스틸(주),2012/12,0.0,0,0.035926018
016790,(주)카나리아바이오,2020/12,1.0,0,0.21931614
016880,(주)웅진,2012/12,0.0,0,0.06651027
016920,(주)카스,2014/12,0.0,0,0.10038532
